Freq.	V(vout3)
6.76082975391978e+002	(-2.83882827465754e+000dB,-1.11429171776547e+002°)
6.91830970918933e+002	(-2.49810286930122e+000dB,-1.12259073498345e+002°)
7.07945784384134e+002	(-2.15848973357527e+000dB,-1.13178556153760e+002°)
7.24435960074986e+002	(-1.82071615513596e+000dB,-1.14190171382193e+002°)
7.41310241300914e+002	(-1.48558259335022e+000dB,-1.15296272610459e+002°)
7.58577575029180e+002	(-1.15396580961553e+000dB,-1.16498942230183e+002°)
7.76247116628688e+002	(-8.26820616318990e-001dB,-1.17799907671705e+002°)
7.94328234724277e+002	(-5.05179742960134e-001dB,-1.19200446781604e+002°)
8.12830516164095e+002	(-1.90151262600550e-001dB,-1.20701283753445e+002°)
8.31763771102666e+002	(1.17087006026679e-001dB,-1.22302477936280e+002°)
8.51138038202372e+002	(4.15296689576495e-001dB,-1.24003309130633e+002°)
8.70963589956076e+002	(7.03192136001822e-001dB,-1.25802164411453e+002°)
8.91250938133741e+002	(9.79458112046668e-001dB,-1.27696432970027e+002°)
9.12010839355905e+002	(1.24277201481401e+000dB,-1.29682416757999e+002°)
9.33254300796986e+002	(1.49183035500407e+000dB,-1.31755265607590e+002°)
9.54992586021431e+002	(1.72537885776440e+000dB,-1.33908945721872e+002°)
9.77237220955805e+002	(1.94224507178200e+000dB,-1.36136249720953e+002°)
9.99999999999994e+002	(2.14137193124083e+000dB,-1.38428854613203e+002°)
1.02329299228075e+003	(2.32185034693710e+000dB,-1.40777431100958e+002°)
1.04712854805089e+003	(2.48294868565443e+000dB,-1.43171803695722e+002°)
1.07151930523760e+003	(2.62413699404112e+000dB,-1.45601156601841e+002°)
1.09647819614318e+003	(2.74510407054798e+000dB,-1.48054275811378e+002°)
1.12201845430196e+003	(2.84576598138256e+000dB,-1.50519814013929e+002°)
1.14815362149688e+003	(2.92626530254817e+000dB,-1.52986562394796e+002°)
1.17489755493952e+003	(2.98696115890446e+000dB,-1.55443712614220e+002°)
1.20226443461741e+003	(3.02841090984646e+000dB,-1.57881093368610e+002°)
