Freq.	V(vout)
Step Information: Run=1  (Run: 1/18)
2.75422870333816e+002	(-1.19652998234567e+001dB,5.14559781103068e+000°)
2.81838293126444e+002	(-1.19769435539596e+001dB,5.55202945203768e+000°)
2.88403150312659e+002	(-1.19887531036939e+001dB,5.96502647183116e+000°)
2.95120922666637e+002	(-1.20007320880676e+001dB,6.38500797826208e+000°)
3.01995172040200e+002	(-1.20128829006329e+001dB,6.81240883222736e+000°)
3.09029543251358e+002	(-1.20252065843083e+001dB,7.24768047830578e+000°)
3.16227766016837e+002	(-1.20377026865173e+001dB,7.69129180735465e+000°)
3.23593656929627e+002	(-1.20503690964970e+001dB,8.14373004843011e+000°)
3.31131121482590e+002	(-1.20632018628747e+001dB,8.60550168635977e+000°)
3.38844156139201e+002	(-1.20761949894378e+001dB,9.07713340005982e+000°)
3.46736850452530e+002	(-1.20893402068526e+001dB,9.55917301521860e+000°)
3.54813389233574e+002	(-1.21026267179133e+001dB,1.00521904632350e+001°)
3.63078054770100e+002	(-1.21160409137267e+001dB,1.05567787362642e+001°)
3.71535229097171e+002	(-1.21295660580682e+001dB,1.10735548258439e+001°)
3.80189396320559e+002	(-1.21431819369858e+001dB,1.16031606298094e+001°)
3.89045144994279e+002	(-1.21568644705852e+001dB,1.21462638090079e+001°)
3.98107170553495e+002	(-1.21705852838109e+001dB,1.27035585716383e+001°)
4.07380277804111e+002	(-1.21843112329584e+001dB,1.32757663588249e+001°)
4.16869383470333e+002	(-1.21980038846204e+001dB,1.38636364002277e+001°)
4.26579518801591e+002	(-1.22116189438073e+001dB,1.44679461030432e+001°)
4.36515832240164e+002	(-1.22251056281048e+001dB,1.50895012316255e+001°)
4.46683592150961e+002	(-1.22384059849676e+001dB,1.57291358281074e+001°)
4.57088189614873e+002	(-1.22514541496279e+001dB,1.63877118168162e+001°)
4.67735141287196e+002	(-1.22641755416483e+001dB,1.70661182269600e+001°)
4.78630092322636e+002	(-1.22764859989280e+001dB,1.77652699590429e+001°)
4.89778819368444e+002	(-1.22882908490045e+001dB,1.84861060108357e+001°)
5.01187233627270e+002	(-1.22994839188531e+001dB,1.92295870686261e+001°)
5.12861383991362e+002	(-1.23099464861216e+001dB,1.99966923591295e+001°)
5.24807460249770e+002	(-1.23195461769128e+001dB,2.07884156471704e+001°)
5.37031796370250e+002	(-1.23281358179120e+001dB,2.16057602545188e+001°)
5.49540873857622e+002	(-1.23355522539148e+001dB,2.24497329666720e+001°)
