Freq.	V(vout)
Step Information: Run=1  (Run: 1/18)
7.24435960074986e+002	(1.38005764266863e+000dB,5.41969170928234e+001°)
7.41310241300914e+002	(1.63502554732998e+000dB,5.34002359756851e+001°)
7.58577575029180e+002	(1.88605752007690e+000dB,5.25377050600940e+001°)
7.76247116628688e+002	(2.13251764363477e+000dB,5.16097704159852e+001°)
7.94328234724277e+002	(2.37375708708440e+000dB,5.06172296480305e+001°)
8.12830516164095e+002	(2.60911957347125e+000dB,4.95612575656315e+001°)
8.31763771102666e+002	(2.83794774917703e+000dB,4.84434278935114e+001°)
8.51138038202372e+002	(3.05959039985616e+000dB,4.72657296450647e+001°)
8.70963589956076e+002	(3.27341040687096e+000dB,4.60305767694243e+001°)
8.91250938133741e+002	(3.47879328333236e+000dB,4.47408097592767e+001°)
9.12010839355905e+002	(3.67515607376433e+000dB,4.33996880836011e+001°)
9.33254300796986e+002	(3.86195635070029e+000dB,4.20108725941670e+001°)
9.54992586021431e+002	(4.03870100041801e+000dB,4.05783974431483e+001°)
9.77237220955805e+002	(4.20495446378051e+000dB,3.91066315258864e+001°)
9.99999999999994e+002	(4.36034609136804e+000dB,3.76002299994206e+001°)
1.02329299228075e+003	(4.50457628793975e+000dB,3.60640769845528e+001°)
1.04712854805089e+003	(4.63742116086710e+000dB,3.45032210899972e+001°)
1.07151930523760e+003	(4.75873544915029e+000dB,3.29228058523360e+001°)
1.09647819614318e+003	(4.86845358999799e+000dB,3.13279975199125e+001°)
1.12201845430196e+003	(4.96658887249241e+000dB,2.97239127877328e+001°)
1.14815362149688e+003	(5.05323072479808e+000dB,2.81155490948444e+001°)
1.17489755493952e+003	(5.12854027434905e+000dB,2.65077199250032e+001°)
1.20226443461741e+003	(5.19274440163040e+000dB,2.49049972238527e+001°)
1.23026877081237e+003	(5.24612857122270e+000dB,2.33116625953066e+001°)
1.25892541179416e+003	(5.28902876460286e+000dB,2.17316684111059e+001°)
1.28824955169313e+003	(5.32182285626791e+000dB,2.01686094097939e+001°)
1.31825673855640e+003	(5.34492176905384e+000dB,1.86257048218522e+001°)
1.34896288259165e+003	(5.35876071914780e+000dB,1.71057905763212e+001°)
1.38038426460288e+003	(5.36379082077044e+000dB,1.56113207498055e+001°)
1.41253754462275e+003	(5.36047127007811e+000dB,1.41443771277288e+001°)
1.44543977074592e+003	(5.34926227274684e+000dB,1.27066855643373e+001°)
1.47910838816820e+003	(5.33061882463642e+000dB,1.12996377462885e+001°)
1.51356124843620e+003	(5.30498540364846e+000dB,9.92431697124116e+000°)
1.54881661891247e+003	(5.27279158603346e+000dB,8.58152662975992e+000°)
1.58489319246110e+003	(5.23444856351479e+000dB,7.27182020646853e+000°)
1.62181009735892e+003	(5.19034650924170e+000dB,5.99553177577463e+000°)
1.65958690743755e+003	(5.14085272054715e+000dB,4.75280614185876e+000°)
1.69824365246173e+003	(5.08631045399816e+000dB,3.54362794833190e+000°)
1.73780082874936e+003	(5.02703836218556e+000dB,2.36784924978348e+000°)
1.77827941003891e+003	(4.96333044085709e+000dB,1.22521518845922e+000°)
1.81970085860997e+003	(4.89545639809863e+000dB,1.15387550521886e-001°)
1.86208713666286e+003	(4.82366236315325e+000dB,-9.62033913874014e-001°)
1.90546071796323e+003	(4.74817186013233e+000dB,-2.00749243398825e+000°)
1.94984459975803e+003	(4.66918698049055e+000dB,-3.02145738413706e+000°)
1.99526231496887e+003	(4.58688969706439e+000dB,-4.00440957960699e+000°)
2.04173794466952e+003	(4.50144327123695e+000dB,-4.95682857549133e+000°)
2.08929613085403e+003	(4.41299371306514e+000dB,-5.87918181845992e+000°)
2.13796208950222e+003	(4.32167126178157e+000dB,-6.77191548910391e+000°)
2.18776162394954e+003	(4.22759186085414e+000dB,-7.63544686813054e+000°)
2.23872113856832e+003	(4.13085860771321e+000dB,-8.47015806134379e+000°)
2.29086765276776e+003	(4.03156316335172e+000dB,-9.27639092436726e+000°)
2.34422881531991e+003	(3.92978711131480e+000dB,-1.00544430370765e+001°)
2.39883291901947e+003	(3.82560325919043e+000dB,-1.08045645886213e+001°)
2.45470891568501e+003	(3.71907687866875e+000dB,-1.15269560458992e+001°)
2.51188643150956e+003	(3.61026688263645e+000dB,-1.22217664907548e+001°)
2.57039578276885e+003	(3.49922693969356e+000dB,-1.28890925235855e+001°)
2.63026799189536e+003	(3.38600652799798e+000dB,-1.35289776431102e+001°)
2.69153480392690e+003	(3.27065193152426e+000dB,-1.41414120236249e+001°)
2.75422870333815e+003	(3.15320718272827e+000dB,-1.47263326220079e+001°)
2.81838293126443e+003	(3.03371495628854e+000dB,-1.52836235570164e+001°)
2.88403150312659e+003	(2.91221741909251e+000dB,-1.58131167130345e+001°)
2.95120922666636e+003	(2.78875704198489e+000dB,-1.63145925294481e+001°)
