Freq.	V(vout3)+V(vout2)+V(vout1)
3.09029543251358e+002	(7.51660068236117e+000dB,-1.64032344573491e+002°)
3.16227766016837e+002	(7.57271825684480e+000dB,-1.63768827300497e+002°)
3.23593656929627e+002	(7.63107023169954e+000dB,-1.63507530400618e+002°)
3.31131121482590e+002	(7.69172585753758e+000dB,-1.63249009094406e+002°)
3.38844156139201e+002	(7.75475459958479e+000dB,-1.62993861886116e+002°)
3.46736850452530e+002	(7.82022588748947e+000dB,-1.62742733164313e+002°)
3.54813389233574e+002	(7.88820882953340e+000dB,-1.62496315926497e+002°)
3.63078054770100e+002	(7.95877188698271e+000dB,-1.62255354629059e+002°)
3.71535229097171e+002	(8.03198250378515e+000dB,-1.62020648162534e+002°)
3.80189396320559e+002	(8.10790668622483e+000dB,-1.61793052950422e+002°)
3.89045144994279e+002	(8.18660852647982e+000dB,-1.61573486167552e+002°)
3.98107170553495e+002	(8.26814966328561e+000dB,-1.61362929071028e+002°)
4.07380277804111e+002	(8.35258867208691e+000dB,-1.61162430433036e+002°)
4.16869383470333e+002	(8.43998037615533e+000dB,-1.60973110059977e+002°)
4.26579518801591e+002	(8.53037506917465e+000dB,-1.60796162376361e+002°)
4.36515832240164e+002	(8.62381763872930e+000dB,-1.60632860044290e+002°)
4.46683592150961e+002	(8.72034657902337e+000dB,-1.60484557579926e+002°)
4.57088189614873e+002	(8.81999287998713e+000dB,-1.60352694916640e+002°)
4.67735141287196e+002	(8.92277877876160e+000dB,-1.60238800850153e+002°)
4.78630092322636e+002	(9.02871635841688e+000dB,-1.60144496283430e+002°)
4.89778819368444e+002	(9.13780597772543e+000dB,-1.60071497167739e+002°)
5.01187233627270e+002	(9.25003451498639e+000dB,-1.60021617010641e+002°)
5.12861383991362e+002	(9.36537340838891e+000dB,-1.59996768790933e+002°)
5.24807460249770e+002	(9.48377647539503e+000dB,-1.59998966084240e+002°)
5.37031796370250e+002	(9.60517749434078e+000dB,-1.60030323160294e+002°)
5.49540873857622e+002	(9.72948753316946e+000dB,-1.60093053763579e+002°)
5.62341325190346e+002	(9.85659201330480e+000dB,-1.60189468232611e+002°)
5.75439937337154e+002	(9.98634750157667e+000dB,-1.60321968549915e+002°)
5.88843655355586e+002	(1.01185782303740e+001dB,-1.60493040845400e+002°)
6.02559586074355e+002	(1.02530723564599e+001dB,-1.60705244802059e+002°)
6.16595001861479e+002	(1.03895779828562e+001dB,-1.60961199337539e+002°)
6.30957344480190e+002	(1.05277989866847e+001dB,-1.61263563862800e+002°)
6.45654229034652e+002	(1.06673907196319e+001dB,-1.61615014356624e+002°)
6.60693448007592e+002	(1.08079556775007e+001dB,-1.62018213451611e+002°)
6.76082975391978e+002	(1.09490392716482e+001dB,-1.62475773716564e+002°)
6.91830970918933e+002	(1.10901258780780e+001dB,-1.62990213358140e+002°)
7.07945784384134e+002	(1.12306353889939e+001dB,-1.63563903671748e+002°)
7.24435960074986e+002	(1.13699205451850e+001dB,-1.64199007771223e+002°)
7.41310241300914e+002	(1.15072653827146e+001dB,-1.64897410443992e+002°)
7.58577575029180e+002	(1.16418851793305e+001dB,-1.65660639437314e+002°)
7.76247116628688e+002	(1.17729283279407e+001dB,-1.66489779100406e+002°)
7.94328234724277e+002	(1.18994805873623e+001dB,-1.67385378093651e+002°)
8.12830516164095e+002	(1.20205721533004e+001dB,-1.68347353816907e+002°)
8.31763771102666e+002	(1.21351879429591e+001dB,-1.69374897262748e+002°)
8.51138038202372e+002	(1.22422813830655e+001dB,-1.70466383089419e+002°)
8.70963589956076e+002	(1.23407918244644e+001dB,-1.71619290713095e+002°)
8.91250938133741e+002	(1.24296654738981e+001dB,-1.72830142981421e+002°)
9.12010839355905e+002	(1.25078794415913e+001dB,-1.74094469325700e+002°)
9.33254300796986e+002	(1.25744681705781e+001dB,-1.75406800011565e+002°)
9.54992586021431e+002	(1.26285511726130e+001dB,-1.76760697068612e+002°)
9.77237220955805e+002	(1.26693606901552e+001dB,-1.78148825610437e+002°)
9.99999999999994e+002	(1.26962676850975e+001dB,-1.79563066613522e+002°)
1.02329299228075e+003	(1.27088044712298e+001dB,1.79005330989590e+002°)
1.04712854805089e+003	(1.27066823944479e+001dB,1.77565564482908e+002°)
1.07151930523760e+003	(1.26898032344915e+001dB,1.76127066596206e+002°)
1.09647819614318e+003	(1.26582634365436e+001dB,1.74699281097104e+002°)
1.12201845430196e+003	(1.26123508321522e+001dB,1.73291437476382e+002°)
1.14815362149688e+003	(1.25525341057529e+001dB,1.71912337555203e+002°)
1.17489755493952e+003	(1.24794458254743e+001dB,1.70570165599308e+002°)
1.20226443461741e+003	(1.23938603117508e+001dB,1.69272331144902e+002°)
1.23026877081237e+003	(1.22966679124988e+001dB,1.68025350601967e+002°)
1.25892541179416e+003	(1.21888473667476e+001dB,1.66834770268818e+002°)
1.28824955169313e+003	(1.20714378777110e+001dB,1.65705130122991e+002°)
1.31825673855640e+003	(1.19455123141156e+001dB,1.64639965013142e+002°)
1.34896288259165e+003	(1.18121526625848e+001dB,1.63641837890255e+002°)
1.38038426460288e+003	(1.16724285151104e+001dB,1.62712398559883e+002°)
1.41253754462275e+003	(1.15273790396208e+001dB,1.61852461057971e+002°)
1.44543977074592e+003	(1.13779985825205e+001dB,1.61062093010784e+002°)
1.47910838816820e+003	(1.12252258104996e+001dB,1.60340711051469e+002°)
1.51356124843620e+003	(1.10699361229632e+001dB,1.59687177345272e+002°)
1.54881661891247e+003	(1.09129369543039e+001dB,1.59099893359138e+002°)
1.58489319246110e+003	(1.07549655286660e+001dB,1.58576888074542e+002°)
1.62181009735892e+003	(1.05966886172906e+001dB,1.58115898800975e+002°)
1.65958690743755e+003	(1.04387038677349e+001dB,1.57714443555777e+002°)
1.69824365246173e+003	(1.02815423139540e+001dB,1.57369884617434e+002°)
1.73780082874936e+003	(1.01256717270546e+001dB,1.57079483338833e+002°)
1.77827941003891e+003	(9.97150052131736e+000dB,1.56840446641686e+002°)
1.81970085860997e+003	(9.81938198384183e+000dB,1.56649965827025e+002°)
1.86208713666286e+003	(9.66961864570141e+000dB,1.56505248454597e+002°)
1.90546071796323e+003	(9.52246665609164e+000dB,1.56403544090040e+002°)
1.94984459975803e+003	(9.37814005792323e+000dB,1.56342164713518e+002°)
1.99526231496887e+003	(9.23681489369640e+000dB,1.56318500544328e+002°)
2.04173794466952e+003	(9.09863309477061e+000dB,1.56330031976087e+002°)
2.08929613085403e+003	(8.96370612601686e+000dB,1.56374338246499e+002°)
2.13796208950222e+003	(8.83211837212297e+000dB,1.56449103391668e+002°)
2.18776162394954e+003	(8.70393026230117e+000dB,1.56552119962107e+002°)
2.23872113856832e+003	(8.57918113757706e+000dB,1.56681290909266e+002°)
2.29086765276776e+003	(8.45789186986583e+000dB,1.56834629989151e+002°)
2.34422881531991e+003	(8.34006724523271e+000dB,1.57010260974408e+002°)
2.39883291901947e+003	(8.22569812555188e+000dB,1.57206415918041e+002°)
2.45470891568501e+003	(8.11476340359189e+000dB,1.57421432670697e+002°)
2.51188643150956e+003	(8.00723176667139e+000dB,1.57653751818439e+002°)
2.57039578276885e+003	(7.90306328366996e+000dB,1.57901913178698e+002°)
2.63026799189536e+003	(7.80221082951725e+000dB,1.58164551967730e+002°)
2.69153480392690e+003	(7.70462136046005e+000dB,1.58440394732892e+002°)
2.75422870333815e+003	(7.61023705249327e+000dB,1.58728255126627e+002°)
2.81838293126443e+003	(7.51899631442961e+000dB,1.59027029585596e+002°)
2.88403150312659e+003	(7.43083468618110e+000dB,1.59335692967433e+002°)
2.95120922666636e+003	(7.34568563199917e+000dB,1.59653294188681e+002°)
